gas,year,emissions
SO2tot,2070,43254.8
CF4,2070,11.5712
C2F6,2070,2.50978
SF6,2070,15.6847
HFC125,2070,176.962
HFC134a,2070,939.243
HFC245fa,2070,237.088
NMVOCs,2070,156.521
BC,2070,5.92249
OC,2070,25.0836
CO2,2075,17.7141
CH4,2075,490.215
CO,2075,644.268
N2O,2075,10.9271
NOx,2075,32.98
SO2tot,2075,41496.7
CF4,2075,11.7062
C2F6,2075,2.52205
SF6,2075,16.1512
HFC125,2075,178.002
HFC134a,2075,1000.1
HFC245fa,2075,251.635
NMVOCs,2075,156.928
BC,2075,5.90081
OC,2075,24.711
CO2,2080,17.8716
CH4,2080,485.825
CO,2080,647.949
N2O,2080,10.9999
NOx,2080,32.5645
SO2tot,2080,38680
CF4,2080,11.792
C2F6,2080,2.52731
SF6,2080,16.5174
HFC125,2080,178.593
HFC134a,2080,1057.87
HFC245fa,2080,265.408
NMVOCs,2080,156.755
BC,2080,5.91305
OC,2080,24.505
CO2,2085,18.0616
CH4,2085,480.768
CO,2085,653.231
N2O,2085,11.0558
NOx,2085,32.4056
SO2tot,2085,36656.5
CF4,2085,11.8279
C2F6,2085,2.52467
SF6,2085,16.7622
HFC125,2085,178.726
HFC134a,2085,1112.28
HFC245fa,2085,278.328
NMVOCs,2085,156.759
BC,2085,5.96054
OC,2085,24.3958
CO2,2090,18.1942
CH4,2090,474.236
CO,2090,659.373
N2O,2090,11.0844
NOx,2090,32.3399
SO2tot,2090,34765.9
CF4,2090,11.8394
C2F6,2090,2.51892
SF6,2090,16.938
HFC125,2090,178.451
HFC134a,2090,1162.89
HFC245fa,2090,290.378
NMVOCs,2090,156.947
BC,2090,6.02637
OC,2090,24.3721
CO2,2095,18.3096
CH4,2095,468.269
CO,2095,667.127
N2O,2095,11.0896
NOx,2095,32.3694
SO2tot,2095,33082.3
CF4,2095,11.8205
C2F6,2095,2.50913
SF6,2095,17.0409
HFC125,2095,177.797
HFC134a,2095,1207.43
HFC245fa,2095,300.974
NMVOCs,2095,157.5
BC,2095,6.11428
OC,2095,24.4405
CO2,2100,18.423
CH4,2100,462.227
CO,2100,676.365
N2O,2100,11.0729
NOx,2100,32.4733
SO2tot,2100,31488.3
CF4,2100,11.765
C2F6,2100,2.49388
SF6,2100,17.1052
HFC125,2100,176.727
HFC134a,2100,1252.27
HFC245fa,2100,311.574
NMVOCs,2100,158.493
BC,2100,6.21917
OC,2100,24.5896
