"scenario","year","variable","value","units","parameter_value"
"Ref_30",1850,"Tgav",0.0900066675861855,"degC","ECS_1.5"
"Ref_30",1851,"Tgav",0.0921759797209684,"degC","ECS_1.5"
"Ref_30",1852,"Tgav",0.0958857956273617,"degC","ECS_1.5"
"Ref_30",1853,"Tgav",0.100456703751796,"degC","ECS_1.5"
"Ref_30",1854,"Tgav",0.104984395333664,"degC","ECS_1.5"
"Ref_30",1855,"Tgav",0.0979239834292561,"degC","ECS_1.5"
"Ref_30",1856,"Tgav",0.0557208242191084,"degC","ECS_1.5"
"Ref_30",1857,"Tgav",0.00659373998853458,"degC","ECS_1.5"
"Ref_30",1858,"Tgav",0.00052597378383886,"degC","ECS_1.5"
"Ref_30",1859,"Tgav",0.0245001883535656,"degC","ECS_1.5"
"Ref_30",1860,"Tgav",0.0501919728369013,"degC","ECS_1.5"
"Ref_30",1861,"Tgav",0.0655766221399945,"degC","ECS_1.5"
"Ref_30",1862,"Tgav",0.0685257676547114,"degC","ECS_1.5"
"Ref_30",1863,"Tgav",0.071683325266232,"degC","ECS_1.5"
"Ref_30",1864,"Tgav",0.0813323582516665,"degC","ECS_1.5"
"Ref_30",1865,"Tgav",0.0923187757201734,"degC","ECS_1.5"
"Ref_30",1866,"Tgav",0.101721911373132,"degC","ECS_1.5"
"Ref_30",1867,"Tgav",0.109228487767291,"degC","ECS_1.5"
"Ref_30",1868,"Tgav",0.114910664593279,"degC","ECS_1.5"
"Ref_30",1869,"Tgav",0.118566675705143,"degC","ECS_1.5"
"Ref_30",1870,"Tgav",0.121210670649381,"degC","ECS_1.5"
"Ref_30",1871,"Tgav",0.123677402341035,"degC","ECS_1.5"
"Ref_30",1872,"Tgav",0.124994136914156,"degC","ECS_1.5"
"Ref_30",1873,"Tgav",0.125457286947657,"degC","ECS_1.5"
"Ref_30",1874,"Tgav",0.127211208426508,"degC","ECS_1.5"
"Ref_30",1875,"Tgav",0.128623074965531,"degC","ECS_1.5"
"Ref_30",1876,"Tgav",0.126929604909907,"degC","ECS_1.5"
"Ref_30",1877,"Tgav",0.126182846612738,"degC","ECS_1.5"
"Ref_30",1878,"Tgav",0.129214757636656,"degC","ECS_1.5"
"Ref_30",1879,"Tgav",0.133906800321743,"degC","ECS_1.5"
"Ref_30",1880,"Tgav",0.138967995605418,"degC","ECS_1.5"
"Ref_30",1881,"Tgav",0.143842529637279,"degC","ECS_1.5"
"Ref_30",1882,"Tgav",0.13880893732879,"degC","ECS_1.5"
"Ref_30",1883,"Tgav",0.060483959505331,"degC","ECS_1.5"
"Ref_30",1884,"Tgav",-0.0531922952891011,"degC","ECS_1.5"
"Ref_30",1885,"Tgav",-0.078874209970537,"degC","ECS_1.5"
"Ref_30",1886,"Tgav",-0.0526414559611448,"degC","ECS_1.5"
