Date,BC_emissions,C2F6_emissions,CCl4_emissions,CF4_emissions,CFC11_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4_emissions,CO_emissions,ffi_emissions,halon1211_emissions,halon1301_emissions,halon2402_emissions,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC125_emissions,HFC134a_emissions,HFC143a_emissions,HFC227ea_emissions,HFC23_emissions,HFC245fa_emissions,HFC32_emissions,HFC4310_emissions,luc_emissions,N2O_emissions,NOX_emissions,OC_emissions,SF6_emissions,SO2_emissions,NMVOC_emissions
1770,2.139364739,0,0.024856862,0.010071225,0,0,0,0,0,105.04544,0,4273.5216,21.63439757,355.3605476,0.120215924,0.007723273,0,0,0,0,0,0,0,0,1.57E-06,0,0,5.06E-05,0,0.116817287,0.039804595,4.104971231,15.74271509,0,1274.50695,60.96602721
1771,2.100909701,0,0.024856862,0.010071225,0,0,0,0,0,105.07227,0,4274.9318,21.4289211,347.8619883,0.122732998,0.007723273,0,0,0,0,0,0,0,0,1.60E-06,0,0,5.47E-05,0,0.118966389,0.040556594,4.017239842,15.32197739,0,1227.253659,59.42424033
1772,2.087077541,0,0.024856862,0.010071225,0,0,0,0,0,105.08887,0,4275.8046,21.39461572,344.6134738,0.12492275,0.007723273,0,0,0,0,0,0,0,0,1.64E-06,0,0,5.87E-05,0,0.121155028,0.0413228,3.985659067,15.11418329,0,1214.990491,58.72495295
1773,2.092755603,0,0.024856862,0.010071225,0,0,0,0,0,105.06952,0,4274.7874,21.59523139,345.7768091,0.127152766,0.007723273,0,0,0,0,0,0,0,0,1.67E-06,0,0,6.28E-05,0,0.123383931,0.042103481,3.96764091,15.20466379,0,1217.834129,58.91656885
1774,2.154900741,0,0.024856862,0.010071225,0,0,0,0,0,105.0265,0,4272.5262,22.25970773,358.103585,0.129423787,0.007723273,0,0,0,0,0,0,0,0,1.71E-06,0,0,6.68E-05,0,0.12565384,0.042898911,4.068368477,15.87559318,0,1263.469209,61.31335787
1775,2.148996597,0,0.024856862,0.010071225,0,0,0,0,0,105.05246,0,4273.8905,22.20096329,355.0471729,0.131736568,0.007723273,0,0,0,0,0,0,0,0,1.75E-06,0,0,7.09E-05,0,0.127965509,0.043709368,4.095542671,15.5891357,0,1247.682074,60.54083046
1776,2.112143132,0,0.024856862,0.010071225,0,0,0,0,0,105.03944,0,4273.2061,22.14194213,348.8985525,0.134478894,0.007723273,0,0,0,0,0,0,0,0,1.78E-06,0,0,7.49E-05,0,0.130319706,0.044535137,3.948555042,15.37007702,0,1232.373548,59.3811448
1777,2.170244784,0,0.024856862,0.010071225,0,0,0,0,0,105.05273,0,4273.9048,22.56871006,357.545361,0.136877514,0.007723273,0,0,0,0,0,0,0,0,1.82E-06,0,0,7.90E-05,0,0.132717213,0.045376507,4.1163214,15.67345753,0,1259.692989,60.89349007
1778,2.198001402,0,0.024856862,0.010071225,0,0,0,0,0,105.04465,0,4273.48,22.85608093,362.7554135,0.139320241,0.007723273,0,0,0,0,0,0,0,0,1.85E-06,0,0,8.30E-05,0,0.135158828,0.046233772,4.203180157,15.89945625,0,1279.283844,61.78348695
1779,2.159615777,0,0.024856862,0.010071225,0,0,0,0,0,105.03691,0,4273.0734,22.82063569,355.9261715,0.141807887,0.007723273,0,0,0,0,0,0,0,0,1.89E-06,0,0,8.71E-05,0,0.137645361,0.047107232,4.040709289,15.62745786,0,1250.87928,60.50081488
1780,2.189267588,0,0.024856862,0.010071225,0,0,0,0,0,104.98817,0,4270.511,23.24616665,361.6140422,0.144342285,0.007723273,0,0,0,0,0,0,0,0,1.92E-06,0,0,9.10E-05,0,0.140177639,0.047997195,4.046461254,16.0183808,0,1271.818744,61.61859566
1781,2.1894412,0,0.024856862,0.010071225,0,0,0,0,0,105.04236,0,4273.3596,23.24965548,360.0900539,0.147413095,0.007723273,0,0,0,0,0,0,0,0,1.96E-06,0,0,9.52E-05,0,0.142756504,0.04890397,4.098282367,15.80695227,0,1274.550889,61.19330647
1782,2.160522701,0,0.024856862,0.010071225,0,0,0,0,0,105.03125,0,4272.7759,23.34175812,356.0465546,0.150040522,0.007723273,0,0,0,0,0,0,0,0,2.00E-06,0,0,9.92E-05,0,0.145382812,0.049827877,3.965650335,15.71282083,0,1258.104036,60.48572145
1783,2.15072559,0,0.024856862,0.010071225,0,0,0,0,0,105.0436,0,4273.4248,23.37991679,354.2869243,0.152717274,0.007723273,0,0,0,0,0,0,0,0,2.03E-06,0,0,0.000103294,0,0.148057437,0.050769238,3.960319363,15.60726047,0,1255.749889,60.10171272
1784,2.140542212,0,0.024856862,0.010071225,0,0,0,0,0,105.05531,0,4274.0405,23.2940423,350.5694963,0.155442223,0.007723273,0,0,0,0,0,0,0,0,2.07E-06,0,0,0.000107369,0,0.150781268,0.051728384,4.009052919,15.22814126,0,1238.191186,59.21225989
1785,2.165839691,0,0.024856862,0.010071225,0,0,0,0,0,105.02817,0,4272.6136,23.80210554,356.8051254,0.158219376,0.007723273,0,0,0,0,0,0,0,0,2.10E-06,0,0,0.000111374,0,0.153555209,0.05270565,3.994720823,15.73271148,0,1263.608417,60.49447936
1786,2.158683485,0,0.024856862,0.010071225,0,0,0,0,0,105.02684,0,4272.5442,23.831995,354.2058773,0.161672355,0.007723273,0,0,0,0,0,0,0,0,2.14E-06,0,0,0.000115425,0,0.156380182,0.053701379,3.999599202,15.46715712,0,1260.952391,59.91468241
1787,2.185179294,0,0.024856862,0.010071225,0,0,0,0,0,105.03415,0,4272.9283,24.17652818,358.7933683,0.164551427,0.007723273,0,0,0,0,0,0,0,0,2.18E-06,0,0,0.000119493,0,0.159257127,0.05471592,4.061053496,15.71033146,0,1278.337187,60.75335708
1788,2.255223484,0,0.024856862,0.010071225,0,0,0,0,0,104.9922,0,4270.7227,24.85592892,371.3570923,0.167482418,0.007723273,0,0,0,0,0,0,0,0,2.21E-06,0,0,0.000123457,0,0.162187,0.055749628,4.221412419,16.34335434,0,1322.981922,63.12433047
